dropped_state,coef,se,pvalue,deviation
Alabama,-7.101782252050708,4.283585952868142,0.09787073082569941,0.06206428365598349
Alaska,-6.73558934238689,4.246000131081197,0.1132012740991748,0.4282571933198014
Arizona,-7.039452554744529,4.211501709567402,0.09515932021292084,0.12439398096216259
Arkansas,-7.251171532846719,4.2161519272730255,0.08598582752368844,0.08732499714002717
California,-6.799850364963504,4.190644504600584,0.10520620446812479,0.3639961707431878
Colorado,-7.161255474452554,4.212066205418229,0.08962746404281963,0.00259106125413755
Connecticut,-7.347937956204384,4.200984027761247,0.08079650245154824,0.18409142049769223
Delaware,-7.157762773722629,4.21496404334289,0.09000397047751818,0.0060837619840627966
District of Columbia,-6.77544890510949,4.175286301275209,0.10517960287909989,0.38839763059720145
Florida,-8.07255406413125,4.1618692953734575,0.05290140312616387,0.908707528424558
Georgia,-7.838650260999261,4.20852160665852,0.06302266569675274,0.6748037252925689
Hawaii,-7.144686131386857,4.226455706857234,0.09146943174184363,0.01916040431983479
Idaho,-6.528525011334443,4.330532457921009,0.13220589413542738,0.635321524372249
Illinois,-7.183383211678832,4.20077704576958,0.08779191645637918,0.01953667597214004
Indiana,-7.810078234556054,4.19713868558543,0.06327076843986412,0.6462316988493626
Iowa,-7.499281021897809,4.19502014092747,0.07434619895865091,0.33543448619111693
Kansas,-6.608557046979873,4.268013998801773,0.12206698555243856,0.5552894887268192
Kentucky,-7.613963503649636,4.201749794241448,0.07048258148972497,0.450116967942944
Louisiana,-7.589194630872484,4.256787953092332,0.07512815591582789,0.4253480951657922
Maine,-6.2936729445578985,4.306387668935029,0.1444205405516943,0.8701735911487933
Maryland,-7.223383211678832,4.20707364936998,0.08651371564415333,0.059536675972140074
Massachusetts,-7.420069343065693,4.20334747034892,0.07803723908589766,0.25622280735900116
Michigan,-7.415204379562042,4.20175240999043,0.07811928743535068,0.25135784385535054
Minnesota,-7.248919708029193,4.211806416962897,0.08576047185427793,0.08507317232250156
Mississippi,-5.6926062639821104,4.000918975427219,0.155318193097292,1.4712402717245814
Missouri,-7.394795987631046,4.358096885684223,0.09026559718535099,0.2309494519243538
Montana,-7.132632363907533,4.307698509360243,0.0982993566788597,0.031214171799159196
Nebraska,-6.266933655735225,4.27182535405867,0.14290103536726506,0.8969128799714667
Nevada,-6.698131386861314,4.178609504905391,0.10948206572218622,0.4657151488453781
New Hampshire,-7.79683211678832,4.1804987709407895,0.06267337406880502,0.6329855810816278
New Jersey,-7.041536496350363,4.184405177342902,0.09294467405997353,0.12231003935632856
New Mexico,-7.581959854014595,4.196469914368914,0.07131366546420836,0.41811331830790355
New York,-6.86106204379562,4.1716747140681925,0.10057158999119853,0.3027844919110718
North Carolina,-7.4103504847129065,4.2862625077715615,0.08435983400316771,0.24650394900621464
North Dakota,-7.221375912408762,4.194183845786239,0.08563991554651862,0.057529376702070145
Ohio,-7.671609489051097,4.18767375076952,0.06746536941345216,0.5077629533444048
Oklahoma,-9.230813032657059,3.6888719869069524,0.012608371996078782,2.066966496950367
Oregon,-7.077456204379568,4.226614032956299,0.09456544417288648,0.0863903313271237
Pennsylvania,-7.500025832164733,4.2396347826224945,0.07740868955977853,0.3361792964580408
Rhode Island,-7.360821167883215,4.201277589276881,0.08028847486950763,0.19697463217652356
South Carolina,-7.235458612975402,4.287843159448866,0.09205088704384035,0.07161207726871055
South Dakota,-6.157912005965702,4.178904165623898,0.14113316738904147,1.0059345297409896
Tennessee,-5.760842654735275,4.05192965927599,0.15562908526014985,1.4030038809714167
Texas,-7.550872483221483,4.252861283636795,0.07633662362146798,0.38702594751479147
Utah,-6.1023160042315245,4.235253997754091,0.15016356548548293,1.0615305314751673
Vermont,-7.185653284671533,4.226300780643377,0.08961871468982108,0.021806748964841027
Virginia,-7.363663868088645,4.352802900872553,0.09123273686924738,0.19981733238195343
Washington,-7.095448905109487,4.224789674913354,0.09359069677465648,0.06839763059720472
West Virginia,-7.513521897810216,4.221829017856092,0.07564494708492053,0.34967536210352446
Wisconsin,-7.247270693512312,4.293643771998487,0.09196029686077778,0.08342415780562007
Wyoming,-7.278079791200603,4.284738274691262,0.08992345446073635,0.11423325549391095
