treated,untreated,estimate,weight,type
2015,99999,-0.45437499999999625,0.05106020849585136,Treated vs Untreated
2014,99999,-0.5535493827160461,0.413587688816396,Treated vs Untreated
2020,99999,-2.8186111111111,0.038295156371888524,Treated vs Untreated
2016,99999,-0.21607142857142014,0.03574214594709595,Treated vs Untreated
2019,99999,0.8409722222222199,0.030636125097510816,Treated vs Untreated
2021,99999,-0.25227272727269084,0.01872207644847883,Treated vs Untreated
2014,2015,-0.23055555555554952,0.011488546911566555,Earlier vs Later Treated
2020,2015,-2.584444444444452,0.004786894546486065,Later vs Earlier Treated
2016,2015,1.8976190476190666,0.001489256081128998,Later vs Earlier Treated
2019,2015,0.9166666666666776,0.003404013899723424,Later vs Earlier Treated
2021,2015,-0.5833333333333277,0.002553010424792568,Later vs Earlier Treated
2015,2014,0.04305555555569748,0.022977093823133114,Later vs Earlier Treated
2020,2014,-1.3277777777777735,0.051698461102049495,Later vs Earlier Treated
2016,2014,0.5992063492063578,0.026806609460321967,Later vs Earlier Treated
2019,2014,1.3002777777777552,0.038295156371888524,Later vs Earlier Treated
2021,2014,0.8365079365079584,0.026806609460321967,Later vs Earlier Treated
2015,2020,0.14666666666666986,0.007978157577476774,Earlier vs Later Treated
2014,2020,0.2996913580247031,0.06893128146939932,Earlier vs Later Treated
2016,2020,0.7208333333333378,0.005106020849585136,Earlier vs Later Treated
2019,2020,2.6666666666666825,0.001914757818594426,Earlier vs Later Treated
2021,2020,2.1833333333333282,4.25501737465428e-4,Later vs Earlier Treated
2015,2016,1.2366666666666717,0.00106375434366357,Earlier vs Later Treated
2014,2016,0.13472222222220212,0.015318062548755411,Earlier vs Later Treated
2020,2016,-2.2430555555555634,0.0025530104247925675,Later vs Earlier Treated
2019,2016,0.3083333333333385,0.001702006949861712,Later vs Earlier Treated
2021,2016,0.46000000000000574,0.0014183391248847599,Later vs Earlier Treated
2015,2019,-1.5991666666666677,0.00425501737465428,Earlier vs Later Treated
2014,2019,-1.743703703703717,0.03829515637188854,Earlier vs Later Treated
2020,2019,-0.9055555555555511,6.38252606198142e-4,Later vs Earlier Treated
2016,2019,-1.4000000000000008,0.002553010424792568,Earlier vs Later Treated
2021,2019,-0.3250000000000025,5.673356499539039e-4,Later vs Earlier Treated
2015,2021,-0.5733333333333411,0.0063825260619814195,Earlier vs Later Treated
2014,2021,-0.40515873015872655,0.05361321892064394,Earlier vs Later Treated
2020,2021,-0.6233333333333376,0.00212750868732714,Earlier vs Later Treated
2016,2021,0.28499999999999875,0.00425501737465428,Earlier vs Later Treated
2019,2021,1.7000000000000004,0.002553010424792568,Earlier vs Later Treated
