window,coef,se,ci_lower,ci_upper,pvalue,n_obs
2010–2017,0.9637063845582852,3.119104715361897,-5.170900599955257,7.0983133690718265,0.7575295377422075,408
2010–2019,0.05424930881116292,3.2403069715912536,-6.313801127241736,6.422299744864062,0.9866498553797416,510
2010–2022,-7.163846535706692,4.17168736430695,-15.356757882986642,1.0290648115732575,0.0864496751918189,663
2011–2022,-7.974770244494538,4.166845386212161,-16.159681475312347,0.21014098632327283,0.056157348047920275,612
2012–2022,-7.503864168618267,4.644101561884193,-16.62826700198397,1.6205386647474382,0.10677309030495552,561
2010–2020,-4.516740696870984,3.72013182087022,-11.825793023683252,2.7923116299412847,0.2252706264764428,561
